"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federally Regulated Dam","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","American Indian/Alaska Native/Native Hawaiian"
"Billingsley Dam","","","AZ00166","","AZ00166","GRAHAM CANAL COMPANY","Private","Private","0","","Yes","Irrigation","Irrigation","Arizona","","32.94742","-109.85170000000001","Arizona","Graham","","0","BILLINGSLEY WASH","Congressional District 06, Arizona","S35, 0050S, 0240E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","","","","0","Undetermined","","0","","Undetermined","","0","","0","","","","","0","0","0","","0","","","2021-04-02","2021-02-25","1","High","Not Rated","","No","","https://damsafety.org/arizona","","",""
"St. George City-City Creek D.B.","","","UT00680","","UT00680","ST. GEORGE CITY","Local Government","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction","Utah","UT00680","37.13490874","-113.5858771","Utah","Washington","ST. GEORGE","1","CITY CREEK","Congressional District 02, Utah","18,42S~15W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","","","","60","76","76","51-100 feet","720","","1989","1980-1989","","1500","1500","638","","4","86","","","","","","","","","2021-05-24","2020-11-18","2","High","Satisfactory","","Yes","","https://damsafety.org/utah","","",""
"Atchison","","","AZ00185","","AZ00185","DONNA SLADE GOODMAN;LYNDA SLADE FOWLER & CHELSEY FOWLER;SLADE FAMILY PARTNERSHIP, LLC C/O JAMIE L SLADE","Private","Private","0","","Yes","Fish and Wildlife Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond;Irrigation","Arizona","","34.00167","-109.34306","Arizona","Apache","EAGAR","0","WATER CANYON CREEK","Congressional District 02, Arizona","S13, T7N, R28E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Soil","8","8","","8","Less than 25 feet","220","0","1920","1920-1929","","205","205","205","52","3","","None","0","0","0","","0","","","2021-04-02","2005-08-04","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Mill Pond","","","AZ00231","","AZ00231","PINK CLIFFS LAND COMPANY, LLC","Private","Private","0","","No","Irrigation","Irrigation;Other","Arizona","","34.515","-110.35667","Arizona","Navajo","ZENIFF","4","UNKNOWN","Congressional District 02, Arizona","S17, T13N, R19E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Rock;Soil","30","30","","30","25-50 feet","5780","460000","1996","1990-1999","","4400","4400","2200","260","3.7","1140","Uncontrolled","10","0","0","","0","","","2021-04-02","2020-06-11","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Pittman North Detention Basin Dam ","","","NV10911","","NV10911","CITY OF HENDERSON","Local Government","Local Government","0","VTN NEVADA","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-730","35.966679","-115.156301","Nevada","Clark","HENDERSON","1","PITTMAN WASH","Congressional District 01, Nevada","212 S23 E31 09","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock","35","34","35","35","25-50 feet","4300","180000","","Undetermined","","1803","1803","0","69","54","16733","Uncontrolled","229","","","","","","None","2023-05-25","2023-05-02","1","High","Fair","2023-05-02","Yes","","https://damsafety.org/nevada","","",""
"Pittman Anthem Detention Basin Dam","","Anthem Detention Basin Ii","NV10543","","NV10543","CITY OF HENDERSON","Local Government","Local Government","0","","Yes","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-504","35.94","-115.0754","Nevada","Clark","HENDERSON","1","PITTMAN WASH-TR","Congressional District 01, Nevada","212 S23 E62 20B","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock","37","30","42","42","25-50 feet","800","104600","","Undetermined","2000S","249.20000000000002","249.20000000000002","0","9.4","2.5","16795","Uncontrolled","400","","","","","","Uncontrolled1","2023-05-25","2023-05-02","1","High","Fair","2023-05-02","Yes","2019-04-12","https://damsafety.org/nevada","","",""
"Wall Lake Dam","Taylor Creek Dam","","NM00487","","NM00487","FOWLER, RAY","Private","Private","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond","New Mexico","D-487","33.350243","-108.079773","New Mexico","Catron","UNINCORPORATED RESIDENCE","5","TAYLOR CREEK","Congressional District 02, New Mexico","T11S R12W S10","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Rock","26","18","40","40","25-50 feet","500","0","1949","1940-1949","","188","","188","19.3","100","4000","Uncontrolled","200","0","0","","0","","","2021-04-09","2014-11-04","5","Low","Poor","2014-11-04","Not Required","","https://damsafety.org/new-mexico","","",""
"Hassayampa Check","","","AZ00120","","AZ00120","HASSAYAMPA LAKE RECREATION ASSOCIATION","Private","Private","0","","No","Recreation","Recreation","Arizona","","34.428889999999996","-112.42639","Arizona","Yavapai","GLEN OAKS","12","HASSAYAMPA RIVER","Congressional District 02, Arizona","S36, T12.5N, R2W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Gravity","Gravity","Concrete","Rock","40","40","","40","25-50 feet","175","2160","1936","1930-1939","","43","43","43","3","1.85","1190","Uncontrolled","175","0","0","","0","","","2021-04-02","2019-10-30","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Mexican Hay Lake","","","AZ00036","","AZ00036","GROVERS HILL IRRIGATION DISTRICT","Private","Private","0","","Yes","Fish and Wildlife Pond","Fish and Wildlife Pond;Irrigation","Arizona","","34.03444","-109.36417","Arizona","Apache","SOUTH FORK CAMPGROUND","6","JOE BACA DRAW - TR","Congressional District 02, Arizona","S2, T7N, R28E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","11","","","11","Less than 25 feet","250","0","1908","1900-1909","","821","821","0","164","7","25","Uncontrolled","8","0","0","","0","","","2021-04-02","2011-10-27","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Udall","","","AZ00187","","AZ00187","H. J. PLATT","Private","Private","0","","Yes","Debris Control","Debris Control;Irrigation","Arizona","","34.60917","-109.47972","Arizona","Apache","HUNT","12","LITTLE COLORADO RIVER","Congressional District 02, Arizona","S21, T14N, R27E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","24","","","24","Less than 25 feet","423","0","1910","1910-1919","","5000","5000","0","","2300","500","Uncontrolled","39","0","0","","0","","","2021-04-02","2006-06-08","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Black Mountain Detention Basin Dam","","","NV10550","","NV10550","CITY OF HENDERSON","Local Government","Local Government","0","VTN NEVADA","Yes","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-516","35.987238999999995","-114.99477","Nevada","Clark","HENDERSON","0","LAS VEGAS WASH-TR","Congressional District 01, Nevada","212 S22 E62 36D","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Soil","40","35","40","40","25-50 feet","1262","57000","2000","Since 2000","","394.5","394.5","0","20.1","3.6","21900","Uncontrolled","300","","","","","","Uncontrolled1","2023-05-25","2023-05-01","1","High","Fair","2023-05-01","Yes","2019-04-12","https://damsafety.org/nevada","","",""
"Arrow Canyon Detention Dam","","","NV10825","","NV10825","DOI BLM","Federal","Federal","0","UNKNOWN","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L1836875","36.745419999999996","-114.80149","Nevada","Clark","","6","PAHRANAGAT WASH","Congressional District 04, Nevada","S3, 14S, 64E","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","","","","","","","","0","Undetermined","","1100","1933","1930-1939","","340","340","","","28","","","","0","0","","0","","","2021-04-29","2018-09-14","1","High","Not Rated","2016-05-01","Yes","","https://www.blm.gov/","","",""
"F-2 Dam Detention Basin","","","NV10771","","NV10771","CLARK COUNTY PUBLIC WORKS","Local Government","Local Government","0","USA CORPS OF ENGINEERS","Yes","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-644","36.08049","-115.32867999999999","Nevada","Clark","LAS VEGAS","0","FLAMINGO WASH-TR","Congressional District 03, Nevada","212 S21 E59 36B","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Soil","23","23","27","27","25-50 feet","548","72530","2004","Since 2000","","22.5","22.5","0","2.5","1.3","11600","Uncontrolled","430","","","","","","Uncontrolled1","2023-05-25","2022-02-25","1","High","Fair","2022-02-25","Yes","2017-11-30","https://damsafety.org/nevada","","",""
"Jaques","","","AZ00023","","AZ00023","CITY OF SHOW LOW","Local Government","Local Government","0","","Yes","Other","Other;Recreation","Arizona","","34.19722","-110","Arizona","Navajo","SHOW LOW","4","SHOW LOW CREEK","Congressional District 02, Arizona","S10, T9N, R22E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock","65","","81","81","51-100 feet","1970","370000","1953","1950-1959","","8160","8160","6000","186","65","10000","Uncontrolled","220","0","0","","0","","","2021-04-02","2020-08-27","1","High","Poor","2017-09-20","Yes","","https://damsafety.org/arizona","","",""
"Frye Creek Retarding","","","AZ00068","","AZ00068","TOWN OF THATCHER","Local Government","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","32.82889","-109.75917","Arizona","Graham","THATCHER","","FRYE CREEK","Congressional District 06, Arizona","S14, T7S, R25E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","Earth","Soil","31.3","31.3","47.6","47.6","25-50 feet","6730","432220","1962","1960-1969","","3150","3150","0","205","25.5","14500","Uncontrolled","400","0","0","","0","","Uncontrolled","2021-05-24","2020-10-15","1","High","Satisfactory","2017-08-09","Yes","","https://damsafety.org/arizona","","",""
"Mineral Park Flood Control Basin","","","AZ00226","","AZ00226","ORIGIN MINING COMPANY","Private","Private","0","","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","35.37167","-114.15583","Arizona","Mohave","SANTA CLAUS","4","MINERAL PARK WASH","Congressional District 09, Arizona","S24, T23N, R18W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock;Soil","43","","","43","25-50 feet","350","45000","1995","1990-1999","","66","66","0","3.3000000000000003","0.36","","Uncontrolled","50","0","0","","0","","","2021-04-02","2012-08-02","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Snow Lake Dam","Snow Creek Dam","","NM00058","","NM00058","NEW MEXICO DEPARTMENT OF GAME AND FISH","State","State","0","CHAMBERS & CAMPBELL, INC.","Yes","Recreation","Recreation","New Mexico","D-58","33.417159999999996","-108.495247","New Mexico","Catron","GILA CLIFF DWELLINGS VISITOR CENTER","30","SNOW CREEK","Congressional District 02, New Mexico","T10S R16W S28","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Rock;Soil","86","66","92","92","51-100 feet","325","0","1967","1960-1969","","9600","9600","1500","539","90","987","Uncontrolled","5","0","0","","0","","Slide (sluice gate)0","2021-04-09","2014-09-16","5","Low","Satisfactory","2014-09-16","Not Required","","https://damsafety.org/new-mexico","","",""
"City","","","AZ00010","","AZ00010","CITY OF WILLIAMS","Local Government","Local Government","0","","No","Recreation","Recreation;Water Supply","Arizona","","35.23361","-112.19056","Arizona","Coconino","WILLIAMS","1","CATARACT CREEK - TR","Congressional District 02, Arizona","S4, T21N, R2E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock;Soil","46.5","46.5","","46.5","25-50 feet","423","44000","1902","1900-1909","","160","160","111","6.5","1.4000000000000001","2350","Uncontrolled","62","0","0","","0","","","2021-04-02","2020-10-30","1","High","Satisfactory","2017-11-14","Yes","","https://damsafety.org/arizona","","",""
"Lower Sabino Dam","","","AZ83484","","AZ83484","USDA FS","Federal","Federal","0","","No","","","Forest Service","030505 92504","32.31481944","-110.8112083","Arizona","Pima","TUCSON","0.5","SABINO CREEK","Congressional District 06, Arizona","S9,13S,R15E","No","","","","","","Forest Service","","","","","No","","","","No","N/A","Masonry","Masonry;Gravity","Concrete","Rock","18","14","","18","Less than 25 feet","282","753","1935","1930-1939","","8","8","1","1","41","","Uncontrolled","132","","","","","","Uncontrolled","2021-05-17","2009-08-20","","Significant","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","","",""
"East C-1 Detention Basin Dam","","","NV10528","","NV10528","CITY OF HENDERSON","Local Government","Local Government","0","VTN NEVADA","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-498","36.0233","-114.90650000000001","Nevada","Clark","HENDERSON","0","LAS VEGAS WASH-TR","Congressional District 01, Nevada","212 S22 E63 23A","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Soil","65","55","65","65","51-100 feet","1050","350000","2000","Since 2000","","1414","1414","0","48.2","5.3","21800","Uncontrolled","200","","","","","","Uncontrolled1","2023-05-25","2023-05-01","1","High","Fair","2023-05-01","Yes","2019-04-12","https://damsafety.org/nevada","","",""
"Sunset","","","AZ00174","","AZ00174","FLOOD CONTROL DISTRICT OF MARICOPA COUNTY","Local Government","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","33.96472","-112.74222","Arizona","Maricopa","WICKENBURG","","SUNSET WASH","Congressional District 09, Arizona","S11,T7N,R5W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","Earth","Rock;Soil","20","20","32","32","25-50 feet","560","69000","1977","1970-1979","","169","169","0","9","0.6","4100","Uncontrolled","40","0","0","","0","","Uncontrolled","2021-05-24","2020-06-18","1","High","Satisfactory","2018-04-02","Yes","","https://damsafety.org/arizona","","",""
"Short Creek Southside #2","","","AZ00078","","AZ00078","UNITED EFFORT PLAN TRUST","Private","Private","0","USDA NRCS","No","Irrigation","Irrigation","Arizona","","36.99639","-112.96278","Arizona","Mohave","COLORADO CITY","","SHORT CREEK - TR","Congressional District 09, Arizona","S32, T42N, R6W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","No","","","","No","N/A","Earth","Earth","Earth","Rock;Soil","35","33","60","60","51-100 feet","850","75980","1970","1970-1979","","110","110","84","5.4","0.4","513","Uncontrolled","60","0","0","","0","","Uncontrolled","2021-05-24","2020-06-02","3","Significant","Satisfactory","2017-04-12","No","","https://damsafety.org/arizona","","",""
"Little Hell's Canyon","","","AZ00215","","AZ00215","ARIZONA DEPARTMENT OF TRANSPORTATION","State","State","0","","Yes","Other","Other;Fire Protection, Stock, Or Small Fish Pond","Arizona","","35.08139","-112.40556","Arizona","Yavapai","US 89","0","LITTLE HELL CANYON","Congressional District 02, Arizona","S30, T20N, R1W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Rockfill","Rockfill","Earth","Rock","30","","69.5","69.5","51-100 feet","500","112000","1951","1950-1959","","1545","1545","65","12","53.7","8000","Uncontrolled","29","0","0","","0","","","2021-04-02","2020-04-16","1","High","Satisfactory","2018-03-27","Yes","","https://damsafety.org/arizona","","",""
"Sheep Springs #1","","","AZ00154","","AZ00154","ARIZONA DEPARTMENT OF TRANSPORTATION","State","State","0","","Yes","Fish and Wildlife Pond","Fish and Wildlife Pond","Arizona","","34.05056","-109.53667","Arizona","Apache","EAGAR","15","FISH CREEK","Congressional District 02, Arizona","S31, T8N, R27E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock;Soil","30","28","","30","25-50 feet","900","50000","1956","1950-1959","","393","","393","43","3","","Uncontrolled","30","0","0","","0","","","2021-04-02","2013-06-10","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
